grau,nome,cidade,código,conceito,situação,siglaIes,modalidade,idPrograma,idModalidade,programaEmRede,idAreaAvaliacao,nomeAreaAvaliacao,idAreaConhecimento,nomeAreaConhecimento,idModalidadeEnsino,nomeModalidadeEnsino,idGrandeAreaConhecimento,nomeGrandeAreaConhecimento
Mestrado/Doutorado,DIREITO,salvador,28001010015P0,5,EM FUNCIONAMENTO,UFBA,ACADÊMICO,369,1,0,26,DIREITO,50,DIREITO,1,Educação Presencial,6,CIÊNCIAS SOCIAIS APLICADAS
Mestrado/Doutorado,GEOGRAFIA,salvador,28001010032P1,4,EM FUNCIONAMENTO,UFBA,ACADÊMICO,383,1,0,36,GEOGRAFIA,73,GEOGRAFIA,1,Educação Presencial,7,CIÊNCIAS HUMANAS
Mestrado/Doutorado,"Ecologia: Teoria, Aplicação e Valores",salvador,28001010039P6,4,EM FUNCIONAMENTO,UFBA,ACADÊMICO,389,1,0,7,BIODIVERSIDADE,17,ECOLOGIA,1,Educação Presencial,2,CIÊNCIAS BIOLÓGICAS
Mestrado/Doutorado,ECONOMIA,salvador,28001010010P8,4,EM FUNCIONAMENTO,UFBA,ACADÊMICO,364,1,0,28,ECONOMIA,76,ECONOMIA,1,Educação Presencial,6,CIÊNCIAS SOCIAIS APLICADAS
Mestrado Profissional/Doutorado Profissional,Educação,ilhéus,28007018017P7,4,EM FUNCIONAMENTO,UESC,PROFISSIONAL,205234,2,0,38,EDUCAÇÃO,86,EDUCAÇÃO,1,Educação Presencial,7,CIÊNCIAS HUMANAS
Mestrado/Doutorado,Engenharia Agrícola,Cruz das Almas,28022017009P6,4,EM FUNCIONAMENTO,UFRB,ACADÊMICO,204962,1,0,42,CIÊNCIAS AGRÁRIAS I,45,ENGENHARIA AGRÍCOLA,1,Educação Presencial,5,CIÊNCIAS AGRÁRIAS
Mestrado,CIÊNCIAS DA REABILITAÇÃO,Salvador,28001010176P3,A,EM FUNCIONAMENTO,UFBA,ACADÊMICO,209136,1,0,21,"EDUCAÇÃO FÍSICA, FISIOTERAPIA, FONOAUDIOLOGIA E TERAPIA OCUPACIONAL",57,FONOAUDIOLOGIA,1,Educação Presencial,4,CIÊNCIAS DA SAÚDE
Mestrado Profissional,GESTÃO E PRÁTICAS EM COMUNICAÇÃO E CULTURA,Salvador,28001010180P0,A,EM PROJETO,UFBA,PROFISSIONAL,210552,2,0,45,INTERDISCIPLINAR,428,"SOCIAIS, CULTURAS E HUMANIDADES",,,10,MULTIDISCIPLINAR
Mestrado/Doutorado,FAMÍLIA NA SOCIEDADE CONTEMPORÃNEA,Salvador,28003012004P7,4,EM FUNCIONAMENTO,UCSAL,ACADÊMICO,202656,1,0,45,INTERDISCIPLINAR,428,"SOCIAIS, CULTURAS E HUMANIDADES",1,Educação Presencial,10,MULTIDISCIPLINAR
Mestrado Profissional,PRODUÇÃO VEGETAL NO SEMIÁRIDO,Guanambi,29002001001P9,3,EM FUNCIONAMENTO,IFBAIANO,PROFISSIONAL,206282,2,0,42,CIÊNCIAS AGRÁRIAS I,303,FITOTECNIA,1,Educação Presencial,5,CIÊNCIAS AGRÁRIAS
